review,sentiment
"Is it just me or this movie has that guardians of the galaxy feel with all of the aliens and beautiful imagery and the song just fits, i'm so excited for this movie!!",positive
"Can't wait for Spider-Man and the Wasp: Quantumania!! Looks really good! Also glad that they gave Scott Lang some role too, he's heavily underrated.",positive
"So excited to see Jonathan majors back, his portrayal of he who remains was amazing, and can’t wait to see him as Kang!",positive
the musical score of this trailer is off the charts..i love it..,positive
I've always felt like the Ant-Man movies are super underrated. I'm very excited for this next one!,positive
"Even from a few seconds in this trailer, you can see Jonathan Majors’ incredible range. His comedic demeanour in Loki is SO different to the stoic, aloof kinda vibe he’s giving off here. I’ve literally seen this man act in one episode of a show and a 2 minute trailer and I’m already blown away by him.",positive
I really enjoy the retro-futuristic instrumental in this trailer. It definitely ties back to Loki through the music,positive
"That first scene was incredibly epic! Seeing Kang gave me chills. They might be skimping on CGI on Disney+ to save money, but I'm relieved to see they aren't pulling punches with the CGI here. Looks incredible. Really looking forward to this.",positive
"I love the Spiderman franchise, so hyped for this next instalment of it!",positive
This movie looks like it'll have major effects on the MCU big picture wise. I'm so excited to see Jonathan Majors again. He's so charismatic and I love that we'll be seeing different versions of Kang,positive
"I seriously enjoy the rendition of ""Goodbye Yellow-Brick Road"" playing in this trailer.",positive
"CGI looks incredible, i think they wont mess this up as they are introducing Kang The Conqueror. Can’t wait to see it on the big screen. Congratulations to everyone who worked on this project ",positive
Love how comic accurate they made kangs suit. It works so well on the big screen. Jonathan Majors is gonna kill it!,positive
Yes! I personally love the Ant Man movies. I think they're very underappreciated. And seeing this trailer has me even more hyped for Quantamania than I already was!!!,positive
I like the idea that every time we see kang it’s a different variant. Keeps it more interesting for the audience and no doubt for Jonathan majors. Seriously I loved him as He Who Remains and to think that’s a “nice guy” version of kang.,positive
"This looks amazing. Not gonna lie, I think this could hands down be one of the best projects out of this saga. It feels so much more grand on a cinematic scale. Always been a fan of Peyton Reed’s Ant Man films and I feel like he’s gonna knock it out of the park with this one.",positive
So Sad that so many people hate this movie i Don't understand . This movie is not that bad i love the characters of kang and the story Line is good to . Im not understand What other people want it actually 🤷🏼i like this movie,positive
"Omg , what a waste of time , i just watched",negative
Glad I haven't paid money to watch a Marvel movie since End Game. They have gone down the toilet.,negative
Too bored,negative
The movie was meeeh... I didn't like it,negative
Watched the movie and I'm disappointed. Spider-man wasn't there,negative
"It’s children stories guys.. as an adult I am bored I miss the old flicks like Hulk Vs Abomination. Now its so predictable with the music and storey line and Kang sucks, not like the comics",negative
Aaaaand it BOMBED. HOT GARBAGE.,negative
Man!! I can’t believe this movie turned out to be a disappointment,negative
It was boring tough...the villain didn't potray much,negative
78% It is very ugly movie :),negative
"Sooooo disappointed with this one. Dads little girl, the big secret grandma is holding back, even in the realm. Think this movie was rushed and it’s has a made for children vibe. I was looking forward to it but very disappointed.",negative
I couldn't endure watching this because wasn't really hooked with the story or maybe because kathryn looks a lot like Amber heard. Haha,negative
"Lol, ""quantum realm"" looks like a sea on space? What a joke. Disliked.",negative
What a waste of my time. These movie get worse and worse. I am glad i did not went to cinema for this...,negative
I just didn't like Cassie and the cringe jokes I don't want that just for once some serious story and what's with Cassie being so disrespectful to her father that's so messed up I know she meant well but wasn't needed,negative
I saw the movie yesterday with my boys the movie was total trash but i knew it would be going in horrible script and a overload of CGI i gave it a two and that was pushing it.,negative
Am I the only one tired of these movies like they made 6 of these movies and like kill of someone already also the timeline don’t make sense didn’t everyone forget who he was?,negative
"This movie convinces me to not watch another mcu movies. The era of superhero movie is in danger if they kept making movie like this. Where is the magic touch of old mcu movies like iron man series, cap America series? I guess mcu just lost in their way.",negative
Trash movie,negative
This was one of the most boring movies ever. Had nothing to do with the previous one.,negative
Trash movie. Everything after Endgame is so bad now.,negative
A bit boring movie for me.,negative
Loved the first 2 but how stupid that movie was.,negative
This is a disaster ..dont watch this,negative
"Just watched half of this movie and hated every minute of it, I couldn't stomach to finish it. It was unbearably clichè, cringe, poorly written and felt wholey unoriginal. Why does Disney turn everything it touches into 💩?",negative
movie was not great,negative
What I found most annoying about the movie was Cassie. She is not likable,negative
Horrible movie!,negative
This movie was such a let down,negative
Don't even get me started on this one. Just pure garbage. Marvel have gone downhill big time since Endgame. Their only major hit since was No Way Home and that was Sony.,negative
Lame movie sorry just bad acting.,negative
So I hear this was total garbage! Lol😅,negative
OMG this movie sucked why does ant mans families hate him why is Cassie so annoying didn't ant man save the entire universe like a quadrilion of live or maybe even googleilion lives!!!! Why did they do such a bad job with this movie???,negative
Worst movie I’ve ever seen,negative
"And they were putting this trash in ads, oh the irony",negative
This movie was SUCH a hot mess.,negative
Movie is crap,negative
What a disappointment. Such a lackluster movie with zero stakes. Utter bore.,negative
Why everyone in this movie acting so seriously like it’s their job. Boring,negative
"I just watched the movie and it was a 3/10 what the hell has happened to Marvel, current marvel is @ss pathetic storyline, pathetic plots, pathetic villains “Kang” the conqueror 🤡poor dialogues, annoying characters etc DC is million times better than current MCU !",negative
This look soooo boring,negative
what a dissappointment of a movie,negative
Movie is just bad. Bad story telling. Marvel is going down hill,negative
it's a complete waste of time give me back my money for crazy crap with quantum realm,negative
"But seriously, the worst part of this was MODOK. 🤮🤮🤮",negative
"What a disaster movie.. I lose two hours of my life, the others movies they were greatest so far.",negative
"Dont watch this movie guys, is one of the worst Marvel Movies",negative
Just watched it. I find this movie cheesy and the kid is annoying.,negative
"Tooooooo bad. The film was the woooorrrrrrrrrrsssssssssssssttttttttttttttttttttt ever. I mean first it was Thanos and the entire universe battle and now its multiverse. What was the need to add Kang in the MCU, and making him the next Thanos like villain. And re casting Cassie Lang was tooooooo bad, it's because the Endgame Cassie actress wasn't that popular, very annoying. It's discrimination. Darren Cross as M.O.D.O.K(I like Darren as The Yellow Jacket) is too annoying, I thought he was dead, MCU bringing the dead back to life is just as worse as Fast and Furious. Bill Murray as villain is depressing. I don't like bringing in new new unwanted characters. I thought the storyline would be some other problem, but they added Janet's past in the Quantum Realm in this film and made it the central part of the story. 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻Worst film ever",negative
Rubbish Movie. Marvel just run out of ideas to write movies and stories.,negative
Story is so weak,negative
"Terrible movie. This is what happens when you make movies for ""modern audiences"". Garbage in, garbage out.",negative
"This movie flopped so bad, I tried to warn ya.",negative
"This movie was TERRIBLE, my least favorite MCU movie ever. I really think they should of stopped after Endgame, I don’t like the direction they are taking all these characters.",negative
The movie is boring. Marvel just use more action,negative
This movie sucked,negative
I just finished watching the movie. It was TERRIBLE. Marvel is going in the wrong direction with their movies. It was also WOKE. They were actually promoting criminal activity. It's sick.,negative
So cringe,negative
"I am 10 mins in and I am ready to shut it off. disrespectful in so many ways, parental, politically, judicial, personal. and it sounds totally stupid- my god were even ruining our super hero movies with propaganda. i hope it just moves along after this weird and unrelatable 10 mins",negative
One of Worst movie of Marvel. No doubt in upcoming sequels they introduce Darth Vader in quantam things... Dislike,negative
Movie sucks. Marvel is imploding,negative
The movie was below average,negative
The movie was below mid and just 3 out of 10,negative
